x,y,ms
184.329227526,149.633622936,41448.0383144
167.543953232,144.718064468,41785.2102194
227.037355821,147.247243804,43879.0598245
218.812044593,160.921401707,38373.4858494
187.546102219,139.743108724,42377.4335551
176.192150307,171.267040347,41536.2028751
179.776852727,131.407901449,38669.1318677
242.247691397,115.195589498,40444.4709236
198.051189291,157.591413899,44233.3748983
209.295732362,177.422341624,40912.9044425
185.949307851,143.500543687,41961.6633646
232.992453884,140.174283752,39768.6173927
190.643509147,134.11578768,42221.1718266
168.371926885,154.221849761,40678.040728
202.776912728,142.228436409,41915.4560721
184.894995011,154.853930377,43061.6621383
176.277815848,164.569668491,40809.5737652
209.790411287,136.060154403,41024.9393316
217.159380238,143.417389316,41724.6599081
170.006439713,170.621698724,41654.1933989
214.72228476,157.790476882,38792.8807302
173.865880605,147.782695336,39135.4842081
181.971817892,150.628881354,36936.2844351
168.242318605,140.921001621,37949.5063646
171.425562974,159.625179695,38374.2216167
189.431098444,127.296882338,38985.4167103
219.73139221,155.057356139,39343.1982987
213.097421254,170.540621769,40611.6152097
234.190571809,162.590105176,41725.9416974
206.902190304,134.42231452,41636.8970299
215.701114967,150.241822763,43802.344167
222.939269335,164.728433605,39848.8531033
217.475986191,124.545635689,40803.4679597
214.026707711,143.49012612,41793.5220109
223.862367533,148.140422268,42010.6370444
161.817922647,127.219274054,41209.2947841
188.406606031,125.429853722,41739.379467
182.546321021,173.073678628,40598.7791445
225.879214788,125.440402256,39456.5713901
221.64256433,160.257354409,40488.0452472
227.735421623,164.695165923,38497.4555106
187.028306191,164.521330466,40282.8888582
169.696670127,150.47507115,41361.2800931
196.91346333,139.828280727,41807.9705483
219.924965669,154.679745238,41811.5323563
177.495667152,155.844519248,38251.2590367
145.007135426,159.189500218,39581.4274167
156.244326429,135.007188948,40137.2114405
157.380197825,146.502847246,40617.0622753
228.813298708,149.241047934,41017.4352456
241.413826114,152.190308507,41416.8325968
210.156236075,145.529052738,43457.147762
220.534317026,151.041690734,42335.6259689
210.349576419,144.97148998,40939.5634784
196.259834213,154.380432154,41758.1951115
185.833517087,159.435743098,39166.2761872
193.142266382,151.054827867,41770.9308809
220.450208431,149.703392499,41675.3396129
191.821188705,143.596033875,39644.2683448
163.592804717,124.522140353,41803.1694657
187.432963224,186.352931652,38950.1051125
151.797870918,154.567587098,40852.3616932
205.089788472,175.346137091,41204.6297402
193.414099692,137.52148102,40986.2541841
208.28154636,153.621210398,41943.6843236
209.990501935,144.351701661,40465.5530341
214.399866128,149.247203861,36686.0777759
196.154192577,150.084626849,42896.2716531
198.689277458,158.51000805,37521.5913351
202.444052485,150.016009332,38192.7905913
222.658320618,145.246193709,41463.2486565
222.344956996,119.642642158,40195.1806112
254.986079458,150.289203723,38557.8445515
182.595331422,147.281765285,41410.2371657
150.460498987,176.348432196,39190.4280288
218.656308381,171.054703705,43847.4491486
190.231517709,134.067812237,39607.360374
206.966135168,179.628839394,45938.7498603
149.65333066,143.784518551,38149.8816563
191.34570024,128.780440414,42215.6283376
187.630112377,169.250561359,42753.1116894
209.638207055,125.488502819,40157.778696
211.726412469,153.892140845,42318.3388433
154.19048287,158.193968987,38396.0387006
226.908321837,159.086439699,39697.3692933
152.032507601,150.387910086,40250.5656264
196.07139554,160.408842221,41291.6075411
168.401921307,168.084475154,41699.3163753
190.336383843,120.674739974,41748.8225787
193.061520215,148.854245042,41058.4348535
164.704930993,151.722127887,36937.7534289
214.517984841,159.420241425,40577.2426955
201.265560102,147.692625291,43225.9448428
220.514842842,152.735839522,41074.124008
190.795317212,142.996679989,40462.5168933
179.597388697,121.834018015,47297.1911741
265.874950148,139.44500237,41110.4636063
186.752036599,142.822079367,38620.9671423
246.541883777,159.397970675,39510.1132859
132.338585767,139.530338959,40228.0041254
177.331855429,135.077600015,38145.402703
193.630869007,114.819132605,42197.9936838
195.874107825,162.294940101,38857.843798
170.317094364,182.499735707,40643.8318094
189.873680278,153.181949917,46214.0209719
163.804513961,151.64649168,40656.8610397
188.829273909,174.305024414,38902.0743865
221.991830028,159.826044635,41574.434351
172.963988198,146.041179965,41835.1723521
213.46552026,154.656678373,40343.0142109
174.746228433,151.88395654,43412.6840404
167.440140821,152.180828621,40513.5031464
180.34146643,152.032622443,41140.1015588
179.698335875,167.835948699,42244.6303057
206.454655002,149.334730247,41667.9706675
165.583319936,159.193052284,38752.2382606
198.054607325,126.922745016,35620.9957858
192.099785437,152.370063387,42419.7288325
220.372705747,141.785094555,38617.5902522
222.917400915,133.69539165,38847.5634555
254.696229319,148.457656532,42572.8843048
214.919264501,179.532462843,40911.1100025
208.235790464,126.154447525,40933.3347407
180.986287986,128.076625691,41133.9572036
193.90265718,155.498285362,40394.585064
204.444801602,163.674670851,41883.4976392
211.649305158,148.274473663,41872.4982669
166.564130312,193.331854062,40680.2520942
163.10461826,161.871662121,41158.3603862
208.433631427,146.412377288,45277.2750028
192.657687891,183.505404184,42277.3365386
188.263535414,148.462679304,43948.3755704
163.705178986,149.793058399,42004.2269333
194.171076088,145.492180903,38359.1849679
198.505399929,153.308779997,40920.813424
226.163829199,143.601978575,38387.0834631
247.898233411,166.589329324,39139.2765742
180.133482329,149.042226259,43518.7178823
226.29467788,144.158860506,41712.5874486
190.001460692,152.156435073,42942.8791219
176.595527245,136.728231896,39887.5636116
153.702778543,176.307995772,43177.9272846
228.528044169,155.395892483,44426.7795044
196.940268432,141.069629995,40816.7124814
180.334336692,149.245256346,43657.3176347
191.761534081,152.189392447,38120.4758037
193.042448174,150.252588177,39700.5862179
226.700473336,150.330842792,39626.1089296
193.533897277,150.341913125,38264.582361
157.664530239,143.741727192,39279.3055771
201.731022821,170.56645429,40738.5671732
218.778995598,178.001662934,40433.4882837
217.468125356,130.982624994,38968.0295392
190.701813152,157.431636959,41075.4522386
223.670504658,155.101966567,41782.103201
209.044562243,167.961041751,42177.8400769
217.605319811,177.851881244,41556.5507892
232.678772313,166.419830089,42340.0809409
134.07119071,139.236378982,42836.2781436
198.146630228,157.169928668,40880.5276182
214.379584811,133.27539108,40811.4159796
208.66326479,134.10268218,40266.9073992
235.390342963,148.138845567,40618.0466169
180.009206616,175.67307294,40506.6250881
148.078603031,144.577755228,41352.2429059
168.646553914,159.593312575,39724.1393642
199.750999282,143.15909532,41308.9087029
242.951289421,127.212410525,37502.8359113
224.566045345,141.851047567,39488.0534129
212.797641198,129.359124138,42787.8446103
219.398875078,169.54367176,41391.8598167
182.761721654,154.383772675,35627.2450636
190.028227621,113.678644862,41863.5100554
148.156571852,160.954623875,40636.0457785
161.693585111,142.322297462,39495.7158715
181.687716487,147.456953999,43020.9267738
207.717292012,153.224967947,46035.2896945
232.194414192,133.672629229,40974.0388036
220.351703457,150.84709918,42601.624355
220.689364502,161.303579464,40333.122585
259.697183186,157.832024327,42236.2204089
186.310978537,152.306625366,41728.0366112
195.198740827,151.112737519,40778.8643935
223.890546512,169.582009301,39612.6017039
233.999984693,149.882797006,40942.593814
225.62867742,138.537817776,41940.013623
218.849808343,136.324690852,40834.9687764
205.569407686,127.453568066,41448.0116951
214.866541913,136.705321794,41620.798579
184.971358981,143.205580933,42592.700827
231.85023068,159.69361267,42863.6473827
180.751483058,147.408767185,38566.834207
286.142486556,138.083081475,41179.8257416
196.130410536,131.114869479,38647.36138
231.815774731,162.315089403,39940.7055397
190.462883564,153.076748376,37210.1741955
169.484151162,159.911365552,43465.5671409
176.834529111,147.770703567,43316.6559244
196.734239284,142.856062893,40606.759591
252.570990453,131.923985661,38953.9656941
